Date,Predicted,Actual,Difference,Error rate
2003,925,947,-22,-2.3231256599788805
2004,923,953,-30,-3.147953830010493
2005,898,855,43,5.029239766081871
2006,934,1006,-72,-7.157057654075547
2007,973,1007,-34,-3.3763654419066533
2008,905,851,54,6.345475910693302
2009,897,841,56,6.658739595719382
2010,947,1003,-56,-5.583250249252243
2011,896,873,23,2.6345933562428407
2012,906,877,29,3.30672748004561
2013,927,930,-3,-0.3225806451612903
2014,940,992,-52,-5.241935483870968
2015,943,944,-1,-0.1059322033898305
2016,941,969,-28,-2.8895768833849327
2017,875,849,26,3.0624263839811543
2018,924,901,23,2.5527192008879025
2019,931,930,1,0.10752688172043011
2020,936,936,0,0.0
